Sample_name,Num_of_http_request,Num of get request,Num of post request,Num requests between first html response and malware response,Time between first html response and malware response,if_there_other_format_between_exe_html,download_malware_time,if exist fake_format(Pretending action),if exist refer_header_for_malware_request,entropy_of_downloadmalware_url,request_parameters,request_parameters_length,Get or Post request,Have_exe_file,entropy_of_exe_file,suspicious functions,vt positive results,Domain_name,availability,DN entropy,creation date,expiration date,lifetime,country,emails entropy,result
2013/06/18/2013-06-18-Neutrino-EK-traffic,232,112,4,113,0:00:06,TRUE,0:00:00,FALSE,FALSE,0.585485485,1,23,FALSE,TRUE,6.81405792,4,52,1208b83b81c141ecd6f05e24.webhop.org:8000,0,0.517992842,,,,,,0
2013/07/08/2013-07-08-DotkaChef-EK-traffic,144,72,0,63,0:00:17,TRUE,0:00:00,FALSE,FALSE,0.574863133,2,32,FALSE,TRUE,7.56922228,3,54,www.brainsync.com,0,0.431852795,827298000,1521604800,694306800,840,0.446558678,0
2013/07/14/2013-07-14-DotkaChef-EK-traffic,376,188,0,137,0:00:14,TRUE,0:00:00,FALSE,FALSE,0.587056995,2,32,FALSE,TRUE,7.411403681,5,54,www.lapostgroup.com,0,0.442110837,919141200,1550293200,631152000,840,0.446558678,0
2013/07/21/2013-07-21-Blackhole-EK-traffic,72,36,0,11,0:00:09,TRUE,0:00:00,FALSE,FALSE,0.529107235,5,52,FALSE,TRUE,7.511052584,1,48,domenicossos.com,1,0.369102441,,,,,,0
2013/07/28/2013-07-28-phishing-malware-traffic,40,16,4,13,0:00:01,FALSE,0:00:00,FALSE,FALSE,0.520321663,1,8,FALSE,TRUE,7.804576216,0,54,www.fixingsocialsecurity.org,0,0.490406482,,,,,,0
2013/08/01/2013-07-31-Cool-EK-traffic,64,32,0,15,0:00:12,TRUE,0:00:00,FALSE,FALSE,0.539478025,1,5,FALSE,TRUE,7.362686489,0,56,xwqralq.servehttp.com,0,0.489515882,965102400,1596254400,631152000,840,0.42409341,0
2013/08/05/2013-08-05-Styx-EK-traffic,264,88,44,83,0:06:09,TRUE,0:00:00,FALSE,FALSE,0.575963205,2,20,FALSE,TRUE,4.988766748,2,51,hostavanquest.biz,1,0.466815204,,,,,,0
2013/08/10/2013-08-10-Blackhole-EK-traffic,48,24,0,0,0,FALSE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2013/08/16/2013-08-16-Styx-EK-traffic,1220,572,36,431,0:00:27,TRUE,0:00:00,FALSE,FALSE,0.431602441,1,3,FALSE,TRUE,-1,-1,55,avajpnu.ac.ir,0,0.397604111,,,,,0.456719596,0
2013/08/23/2013-08-23-g01pack-EK-traffic,192,84,4,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2013/09/07/2013-09-07-Sweet-Orange-EK-traffic,416,204,4,173,0:08:19,TRUE,0:00:00,FALSE,FALSE,0.509592674,1,11,FALSE,TRUE,-1,-1,54,daybriefimpermanent.biz,1,0.459413859,,,,,,0
2013/09/28/2013-09-28-Blackhole-EK-traffic,168,24,60,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2013/10/28/2013-10-28-Sibhost-EK-traffic,736,328,40,357,0:04:48,TRUE,0:00:00,FALSE,FALSE,0.515717138,2,55,FALSE,TRUE,7.425231923,4,56,115.47.49.181,0,0.320681034,,,,,0.450426532,0
2013/11/15/2013-11-15-Gondad-EK-traffic,296,148,0,135,0:00:04,TRUE,0:00:00,FALSE,FALSE,0.485215967,1,15,FALSE,TRUE,-1,-1,52,www.dcart.co.kr,0,0.375779873,970113600,1538107200,567993600,,,0
2013/11/23/2013-11-23-Styx-EK-traffic,1960,980,0,817,0:01:15,TRUE,0:00:00,FALSE,FALSE,0.595946464,2,28,FALSE,TRUE,5.126470461,1,52,diq.endpointcash.asia,0,0.444814834,,,,,,0
2013/12/09/2013-12-09-Whitehole-EK-traffic,216,108,0,0,0,FALSE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2013/12/19/2013-12-19-Neutrino-EK-traffic,360,172,8,139,1:56:45,TRUE,0:00:00,TRUE,FALSE,0.568512163,1,14,FALSE,TRUE,7.905411692,5,47,du8siun.frapdays.com:8000,0,0.496707595,,,,,,0
2013/12/23/2013-12-23-Neutrino-EK-traffic,472,156,80,175,5 days: 8:14:41,TRUE,0:00:00,FALSE,FALSE,0.530769646,1,18,FALSE,TRUE,6.924017549,0,52,thiteeso.borotomo.com:8000,0,0.4384225,,,,,,0
