"Num_of_http_request","Num of get request","Num of post request","Num requests between first html response and malware response","if_there_other_format_between_exe_html","if exist fake_format(Pretending action)","if exist refer_header_for_malware_request","entropy_of_downloadmalware_url","request_parameters","request_parameters_length","Get or Post request","Have_exe_file","entropy_of_exe_file","suspicious functions","vt positive results","availability","DN entropy","result"
"232","112","4","113","1","0","0","0.585485485","1","23","0","1","6.81405792","4","52","0","0.517992842","0"
"144","72","0","63","1","0","0","0.574863133","2","32","0","1","7.56922228","3","54","0","0.431852795","0"
"376","188","0","137","1","0","0","0.587056995","2","32","0","1","7.411403681","5","54","0","0.442110837","0"
"72","36","0","11","1","0","0","0.529107235","5","52","0","1","7.511052584","1","48","1","0.369102441","0"
"40","16","4","13","0","0","0","0.520321663","1","8","0","1","7.804576216","0","54","0","0.490406482","0"
"64","32","0","15","1","0","0","0.539478025","1","5","0","1","7.362686489","0","56","0","0.489515882","0"
"264","88","44","83","1","0","0","0.575963205","2","20","0","1","4.988766748","2","51","1","0.466815204","0"
"48","24","0","0","0","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"1220","572","36","431","1","0","0","0.431602441","1","3","0","1","-1","-1","55","0","0.397604111","0"
"192","84","4","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"416","204","4","173","1","0","0","0.509592674","1","11","0","1","-1","-1","54","1","0.459413859","0"
"168","24","60","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"736","328","40","357","1","0","0","0.515717138","2","55","0","1","7.425231923","4","56","0","0.320681034","0"
"296","148","0","135","1","0","0","0.485215967","1","15","0","1","-1","-1","52","0","0.375779873","0"
"1960","980","0","817","1","0","0","0.595946464","2","28","0","1","5.126470461","1","52","0","0.444814834","0"
"216","108","0","0","0","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"360","172","8","139","1","1","0","0.568512163","1","14","0","1","7.905411692","5","47","0","0.496707595","0"
"472","156","80","175","1","0","0","0.530769646","1","18","0","1","6.924017549","0","52","0","0.4384225","0"
"288","144","0","109","1","0","0","0.684232604","2","123","0","1","5.868405975","1","50","0","0.533921342","0"
"64","32","0","21","0","0","0","0.523813308","1","68","0","1","7.566406908","5","52","0","0.438361332","0"
"80","40","0","25","1","0","0","0.50036395","1","68","0","1","6.036755399","4","53","0","0.421694665","0"
"112","48","8","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"192","56","40","93","1","0","0","0.576950197","1","22","0","1","7.904404217","5","46","0","0.509359455","0"
"80","40","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"232","116","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"0","0","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"600","292","8","0","0","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"128","44","20","0","0","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"192","92","4","73","1","0","0","0.67874592","2","119","0","1","7.866286644","0","52","1","0.519061582","0"
"96","44","4","47","1","0","0","0.537054922","1","14","0","1","7.924434914","5","44","0","0.503373337","0"
"56","28","0","21","1","0","0","0.572317501","1","26","0","1","6.615270792","0","50","0","0.496927263","0"
"48","20","4","9","0","0","0","0.57150579","8","77","0","1","7.008825178","1","54","1","0.426086874","0"
"176","48","40","0","0","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"80","36","4","35","1","0","0","0.501768351","2","10","0","1","7.600814476","5","51","0","0.431852795","0"
"288","140","4","99","1","0","0","0.575402859","2","28","0","1","7.27831284","2","54","0","0.444441644","0"
