,Accuracy,TP,TF,FP,FN
,0.986499518,0.350048216,0.636451302,0.013500482,0
,0.995178399,0.345226615,0.649951784,0,0.004821601
,0.993249759,0.349083896,0.644165863,0.005785921,0.00096432
,0.986499518,0.347155256,0.639344262,0.010607522,0.00289296
,0.99710704,0.350048216,0.647058824,0.00289296,0
,1,0.350048216,0.649951784,0,0
,0.986499518,0.348119576,0.638379942,0.011571842,0.00192864
,0.991321119,0.350048216,0.641272903,0.008678881,0
,1,0.350048216,0.649951784,0,0
,0.996142719,0.349083896,0.647058824,0.00289296,0.00096432
,1,0.350048216,0.649951784,0,0
,0.973963356,0.349083896,0.62487946,0.025072324,0.00096432
,0.995178399,0.347155256,0.648023144,0.00192864,0.00289296
,0.99807136,0.348119576,0.649951784,0,0.00192864
,0.99903568,0.349083896,0.649951784,0,0.00096432
,0.989392478,0.350048216,0.639344262,0.010607522,0
,0.994214079,0.350048216,0.644165863,0.005785921,0
,0.99710704,0.349083896,0.648023144,0.00192864,0.00096432
,0.986499518,0.337512054,0.648987464,0.00096432,0.012536162
,0.992285439,0.350048216,0.642237223,0.007714561,0
,0.990356798,0.348119576,0.642237223,0.007714561,0.00192864
,0.996142719,0.346190935,0.649951784,0,0.003857281
,0.987463838,0.350048216,0.637415622,0.012536162,0
,0.989392478,0.341369335,0.648023144,0.00192864,0.008678881
,0.981677917,0.349083896,0.632594021,0.017357763,0.00096432
,0.992285439,0.343297975,0.648987464,0.00096432,0.006750241
,0.995178399,0.346190935,0.648987464,0.00096432,0.003857281
,0.989392478,0.339440694,0.649951784,0,0.010607522
,0.99807136,0.350048216,0.648023144,0.00192864,0
,0.991321119,0.350048216,0.641272903,0.008678881,0
,0.993249759,0.344262295,0.648987464,0.00096432,0.005785921
,0.992285439,0.349083896,0.643201543,0.006750241,0.00096432
,0.994214079,0.350048216,0.644165863,0.005785921,0
,1,0.350048216,0.649951784,0,0
,0.984570878,0.334619094,0.649951784,0,0.015429122
,0.989392478,0.347155256,0.642237223,0.007714561,0.00289296
,0.987463838,0.338476374,0.648987464,0.00096432,0.011571842
,0.993249759,0.345226615,0.648023144,0.00192864,0.004821601
,0.99807136,0.349083896,0.648987464,0.00096432,0.00096432
,0.990356798,0.350048216,0.640308582,0.009643202,0
,1,0.350048216,0.649951784,0,0
,0.995178399,0.349083896,0.646094503,0.003857281,0.00096432
,1,0.350048216,0.649951784,0,0
,0.990356798,0.349083896,0.641272903,0.008678881,0.00096432
,0.99903568,0.350048216,0.648987464,0.00096432,0
,0.990356798,0.350048216,0.640308582,0.009643202,0
,0.994214079,0.349083896,0.645130183,0.004821601,0.00096432
,0.994214079,0.344262295,0.649951784,0,0.005785921
,0.994214079,0.344262295,0.649951784,0,0.005785921
,0.992285439,0.344262295,0.648023144,0.00192864,0.005785921
,0.965284474,0.31533269,0.649951784,0,0.034715526
,0.995178399,0.347155256,0.648023144,0.00192864,0.00289296
,0.962391514,0.350048216,0.612343298,0.037608486,0
,0.984570878,0.350048216,0.634522662,0.015429122,0
,0.992285439,0.350048216,0.642237223,0.007714561,0
,0.996142719,0.349083896,0.647058824,0.00289296,0.00096432
,0.993249759,0.347155256,0.646094503,0.003857281,0.00289296
,0.996142719,0.348119576,0.648023144,0.00192864,0.00192864
,0.993249759,0.347155256,0.646094503,0.003857281,0.00289296
,0.994214079,0.349083896,0.645130183,0.004821601,0.00096432
,0.995178399,0.347155256,0.648023144,0.00192864,0.00289296
,0.988428158,0.344262295,0.644165863,0.005785921,0.005785921
,0.99807136,0.348119576,0.649951784,0,0.00192864
,0.99710704,0.350048216,0.647058824,0.00289296,0
,0.996142719,0.350048216,0.646094503,0.003857281,0
,0.99710704,0.347155256,0.649951784,0,0.00289296
,0.99903568,0.350048216,0.648987464,0.00096432,0
,0.961427194,0.350048216,0.611378978,0.038572806,0
,0.99807136,0.348119576,0.649951784,0,0.00192864
,0.968177435,0.350048216,0.618129219,0.031822565,0
,0.93539055,0.350048216,0.585342334,0.06460945,0
,0.99807136,0.350048216,0.648023144,0.00192864,0
,0.975891996,0.350048216,0.62584378,0.024108004,0
,0.994214079,0.350048216,0.644165863,0.005785921,0
,0.99903568,0.350048216,0.648987464,0.00096432,0
,0.992285439,0.342333655,0.649951784,0,0.007714561
,0.985535198,0.350048216,0.635486982,0.014464802,0
,0.990356798,0.340405014,0.649951784,0,0.009643202
,0.994214079,0.347155256,0.647058824,0.00289296,0.00289296
,0.981677917,0.334619094,0.647058824,0.00289296,0.015429122
,0.99807136,0.349083896,0.648987464,0.00096432,0.00096432
,1,0.350048216,0.649951784,0,0
,1,0.350048216,0.649951784,0,0
,0.989392478,0.340405014,0.648987464,0.00096432,0.009643202
,0.993249759,0.343297975,0.649951784,0,0.006750241
,0.994214079,0.344262295,0.649951784,0,0.005785921
,0.994214079,0.344262295,0.649951784,0,0.005785921
,0.987463838,0.337512054,0.649951784,0,0.012536162
,0.994214079,0.349083896,0.645130183,0.004821601,0.00096432
,0.995178399,0.346190935,0.648987464,0.00096432,0.003857281
,0.948891032,0.345226615,0.603664417,0.046287367,0.004821601
,0.994214079,0.345226615,0.648987464,0.00096432,0.004821601
,0.996142719,0.348119576,0.648023144,0.00192864,0.00192864
,0.989392478,0.347155256,0.642237223,0.007714561,0.00289296
,0.983606557,0.335583414,0.648023144,0.00192864,0.014464802
,0.99710704,0.347155256,0.649951784,0,0.00289296
,0.99807136,0.348119576,0.649951784,0,0.00192864
,0.990356798,0.340405014,0.649951784,0,0.009643202
,0.975891996,0.350048216,0.62584378,0.024108004,0
,0.99903568,0.349083896,0.649951784,0,0.00096432
,Accuracy,TP,TF,FP,FN
Average,0.990790743,0.346846673,0.643944069,0.006007715,0.003201543
Max,1,0.350048216,0.649951784,0.06460945,0.034715526
Min,0.93539055,0.31533269,0.585342334,0,0
